s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
1.000000000000e-03,3.419489864072e+00,1.064263659527e+01,2.844508395511e+01,5.471513710964e+01,3.636069247087e+01
2.667779632721e-03,2.810161828088e+00,7.187688574556e+00,1.578764122115e+01,2.495672133710e+01,1.431494522563e+01
4.335559265442e-03,2.550071134560e+00,5.918766159112e+00,1.179723263559e+01,1.692276758943e+01,9.024835086711e+00
6.003338898164e-03,2.389366380185e+00,5.196274541679e+00,9.704462887571e+00,1.304347179192e+01,6.624588828867e+00
7.671118530885e-03,2.275042856077e+00,4.710920286484e+00,8.377067288617e+00,1.072063566953e+01,5.248272627555e+00
9.338898163606e-03,2.187268975051e+00,4.354426627791e+00,7.444402325720e+00,9.159483404781e+00,4.353627702351e+00
1.100667779633e-02,2.116557493849e+00,4.077432043367e+00,6.745489458087e+00,8.031237871707e+00,3.724420469363e+00
1.267445742905e-02,2.057668671284e+00,3.853696265364e+00,6.197971768282e+00,7.174043244324e+00,3.257236084454e+00
1.434223706177e-02,2.007418588800e+00,3.667773212078e+00,5.754890729702e+00,6.498512737705e+00,2.896317002392e+00
1.601001669449e-02,1.963735375726e+00,3.509882024358e+00,5.387312261828e+00,5.951056369821e+00,2.608915121617e+00
1.767779632721e-02,1.925199302090e+00,3.373478779106e+00,5.076335816154e+00,5.497496874431e+00,2.374517780382e+00
1.934557595993e-02,1.890797362912e+00,3.253992647326e+00,4.809038139983e+00,5.114959042990e+00,2.179613878689e+00
2.101335559265e-02,1.859782851048e+00,3.148118481925e+00,4.576252446142e+00,4.787526203530e+00,2.014937159609e+00
2.268113522538e-02,1.831590419417e+00,3.053397303936e+00,4.371277194988e+00,4.503764377642e+00,1.873918061350e+00
2.434891485810e-02,1.805782327928e+00,2.967955523500e+00,4.189087706894e+00,4.255237484051e+00,1.751767702812e+00
2.601669449082e-02,1.782013120548e+00,2.890336358618e+00,4.025834799740e+00,4.035578486231e+00,1.644911868830e+00
2.768447412354e-02,1.760005662504e+00,2.819387186221e+00,3.878514799141e+00,3.839887221149e+00,1.550628211617e+00
2.935225375626e-02,1.739534434313e+00,2.754182101323e+00,3.744745847986e+00,3.664327899094e+00,1.466806294178e+00
3.102003338898e-02,1.720413606088e+00,2.693967354005e+00,3.622612349973e+00,3.505852845617e+00,1.391784506765e+00
3.268781302170e-02,1.702488346021e+00,2.638122068468e+00,3.510554347984e+00,3.362008443315e+00,1.324236559551e+00
3.435559265442e-02,1.685628368960e+00,2.586129420858e+00,3.407287288554e+00,3.230795996354e+00,1.263090803299e+00
3.602337228715e-02,1.669723069110e+00,2.537555130216e+00,3.311742794659e+00,3.110570140654e+00,1.207471801993e+00
3.769115191987e-02,1.654677793937e+00,2.492031161831e+00,3.223024253040e+00,2.999963448909e+00,1.156657306217e+00
3.935893155259e-02,1.640410953972e+00,2.449243210101e+00,3.140373035273e+00,2.897829648438e+00,1.110046086681e+00
4.102671118531e-02,1.626851754156e+00,2.408920964731e+00,3.063142474767e+00,2.803200284455e+00,1.067133556326e+00
4.269449081803e-02,1.613938393662e+00,2.370830455705e+00,2.990777583411e+00,2.715251242424e+00,1.027493064296e+00
4.436227045075e-02,1.601616623262e+00,2.334767970854e+00,2.922799072350e+00,2.633276599045e+00,9.907613783437e-01
4.603005008347e-02,1.589838578653e+00,2.300555177129e+00,2.858790639703e+00,2.556667989312e+00,9.566272999567e-01
4.769782971619e-02,1.578561829053e+00,2.268035173232e+00,2.798388765726e+00,2.484898173269e+00,9.248226502115e-01
4.936560934891e-02,1.567748595311e+00,2.237069270053e+00,2.741274452330e+00,2.417507834223e+00,8.951150692177e-01
5.103338898164e-02,1.557365102718e+00,2.207534345121e+00,2.687166484688e+00,2.354094887831e+00,8.673022168814e-01
5.270116861436e-02,1.547381041733e+00,2.179320653640e+00,2.635815894902e+00,2.294305759947e+00,8.412070665263e-01
