zeta,caputo_g0.2,caputo_g0.4,caputo_g0.6,caputo_g0.8,caputo_g0.95
1.000000000000e-05,2.400779013179e-04,2.502524373533e-03,2.520152925922e-02,2.435321334585e-01,1.291635667304e+00
1.674208427860e-05,3.625742915491e-04,3.409265962514e-03,3.097042087092e-02,2.699690518025e-01,1.325335127019e+00
2.802973859919e-05,5.475703725392e-04,4.644525235028e-03,3.805965908760e-02,2.992739110334e-01,1.359903696751e+00
4.692762459349e-05,8.269508879004e-04,6.327296961732e-03,4.677121151150e-02,3.317561629639e-01,1.395356517417e+00
7.856662459389e-05,1.248861294323e-03,8.619640629459e-03,5.747586895759e-02,3.677572192408e-01,1.431703708489e+00
1.315369050436e-04,1.885991970744e-03,1.174221802457e-02,7.062867965613e-02,4.076525202261e-01,1.468946347518e+00
2.202201949987e-04,2.848069919095e-03,1.599537550719e-02,8.678757730070e-02,4.518526289455e-01,1.507069551042e+00
3.686945064520e-04,4.300675012747e-03,2.178767086825e-02,1.066355750283e-01,5.008022166143e-01,1.546030573001e+00
6.172714500077e-04,6.493532497585e-03,2.967429312683e-02,1.310066024592e-01,5.549748017348e-01,1.585738335669e+00
1.033441063881e-03,9.802926295387e-03,4.040839127901e-02,1.609142973595e-01,6.148592329037e-01,1.626018220252e+00
1.730195738846e-03,1.479495566753e-02,5.500869100971e-02,1.975812907193e-01,6.809304152755e-01,1.666551472520e+00
2.896708287824e-03,2.231904866679e-02,7.484633389764e-02,2.424626249022e-01,7.535902618794e-01,1.706770825065e+00
4.849693428528e-03,3.364407416057e-02,1.017511149927e-01,2.972485839707e-01,8.330526393243e-01,1.745680424871e+00
8.119397610581e-03,5.065092877272e-02,1.381285848542e-01,3.638145068321e-01,9.191231016456e-01,1.781544453121e+00
1.359356390879e-02,7.609042569243e-02,1.870561852371e-01,4.440478296241e-01,1.010780764039e+00,1.811347018973e+00
2.275845926075e-02,1.138888301333e-01,2.522683639121e-01,5.394040681972e-01,1.105387374467e+00,1.829852462561e+00
3.810240429946e-02,1.693950609917e-01,3.378000110201e-01,6.498790119767e-01,1.197194841055e+00,1.827971400505e+00
6.379136639991e-02,2.492073744574e-01,4.467272179628e-01,7.717485148858e-01,1.274554239446e+00,1.789964686377e+00
1.068000432515e-01,3.595317132420e-01,5.777072949669e-01,8.928047092538e-01,1.314884516481e+00,1.688980973742e+00
1.788055325075e-01,5.003738371046e-01,7.166186134515e-01,9.830715655151e-01,1.276750618542e+00,1.481746862888e+00
2.993577294720e-01,6.499216174192e-01,8.194734663019e-01,9.806248371890e-01,1.093714646394e+00,1.112169425634e+00
5.011872336273e-01,7.344791891250e-01,7.916565547758e-01,7.907383293740e-01,7.066180825531e-01,5.862993990376e-01
