g0.25_x,g0.25_y,g0.5_x,g0.5_y,g0.75_x,g0.75_y,g1.0_x,g1.0_y,zeta
9.510565162952e-01,-3.090169943749e-01,8.660254037844e-01,-5.000000000000e-01,7.818314824680e-01,-6.234898018587e-01,7.071067811865e-01,-7.071067811865e-01,0.000000000000e+00
8.881048286387e-01,-3.413313191148e-01,8.558766347863e-01,-5.058564494697e-01,7.803006367696e-01,-6.243288149324e-01,7.068959587496e-01,-7.072121629437e-01,3.162277660168e-04
8.880218657729e-01,-3.413753474506e-01,8.558515959641e-01,-5.058708840748e-01,7.802950246554e-01,-6.243318881687e-01,7.068949289433e-01,-7.072126775584e-01,3.177724179334e-04
8.879387847895e-01,-3.414194415327e-01,8.558264946877e-01,-5.058853545800e-01,7.802893919418e-01,-6.243349726651e-01,7.068938941065e-01,-7.072131946854e-01,3.193246148849e-04
8.878555854963e-01,-3.414636014725e-01,8.558013307981e-01,-5.058998610760e-01,7.802837385530e-01,-6.243380684627e-01,7.068928542147e-01,-7.072137143371e-01,3.208843937260e-04
8.877722677003e-01,-3.415078273817e-01,8.557761041358e-01,-5.059144036537e-01,7.802780644130e-01,-6.243411756030e-01,7.068918092433e-01,-7.072142365257e-01,3.224517914912e-04
8.876888312086e-01,-3.415521193722e-01,8.557508145408e-01,-5.059289824043e-01,7.802723694454e-01,-6.243442941276e-01,7.068907591674e-01,-7.072147612637e-01,3.240268453962e-04
8.876052758274e-01,-3.415964775560e-01,8.557254618530e-01,-5.059435974191e-01,7.802666535735e-01,-6.243474240781e-01,7.068897039621e-01,-7.072152885635e-01,3.256095928382e-04
8.875216013629e-01,-3.416409020456e-01,8.557000459116e-01,-5.059582487896e-01,7.802609167206e-01,-6.243505654966e-01,7.068886436023e-01,-7.072158184375e-01,3.272000713973e-04
8.874378076208e-01,-3.416853929534e-01,8.556745665554e-01,-5.059729366079e-01,7.802551588093e-01,-6.243537184249e-01,7.068875780628e-01,-7.072163508983e-01,3.287983188369e-04
8.873538944064e-01,-3.417299503922e-01,8.556490236229e-01,-5.059876609659e-01,7.802493797622e-01,-6.243568829053e-01,7.068865073184e-01,-7.072168859586e-01,3.304043731052e-04
8.872698615245e-01,-3.417745744750e-01,8.556234169521e-01,-5.060024219559e-01,7.802435795015e-01,-6.243600589802e-01,7.068854313437e-01,-7.072174236311e-01,3.320182723354e-04
8.871857087798e-01,-3.418192653149e-01,8.555977463804e-01,-5.060172196705e-01,7.802377579492e-01,-6.243632466919e-01,7.068843501129e-01,-7.072179639284e-01,3.336400548473e-04
8.871014359764e-01,-3.418640230253e-01,8.555720117451e-01,-5.060320542026e-01,7.802319150268e-01,-6.243664460832e-01,7.068832636006e-01,-7.072185068634e-01,3.352697591477e-04
8.870170429180e-01,-3.419088477199e-01,8.555462128829e-01,-5.060469256451e-01,7.802260506559e-01,-6.243696571969e-01,7.068821717809e-01,-7.072190524489e-01,3.369074239314e-04
8.869325294080e-01,-3.419537395124e-01,8.555203496300e-01,-5.060618340914e-01,7.802201647574e-01,-6.243728800758e-01,7.068810746278e-01,-7.072196006980e-01,3.385530880823e-04
8.868478952494e-01,-3.419986985169e-01,8.554944218223e-01,-5.060767796349e-01,7.802142572521e-01,-6.243761147633e-01,7.068799721154e-01,-7.072201516235e-01,3.402067906745e-04
8.867631402447e-01,-3.420437248478e-01,8.554684292952e-01,-5.060917623694e-01,7.802083280606e-01,-6.243793613024e-01,7.068788642174e-01,-7.072207052386e-01,3.418685709725e-04
8.866782641962e-01,-3.420888186194e-01,8.554423718836e-01,-5.061067823889e-01,7.802023771030e-01,-6.243826197367e-01,7.068777509075e-01,-7.072212615564e-01,3.435384684328e-04
8.865932669057e-01,-3.421339799464e-01,8.554162494221e-01,-5.061218397877e-01,7.801964042991e-01,-6.243858901097e-01,7.068766321593e-01,-7.072218205900e-01,3.452165227048e-04
8.865081481746e-01,-3.421792089439e-01,8.553900617448e-01,-5.061369346602e-01,7.801904095688e-01,-6.243891724653e-01,7.068755079462e-01,-7.072223823527e-01,3.469027736313e-04
8.864229078038e-01,-3.422245057269e-01,8.553638086853e-01,-5.061520671012e-01,7.801843928311e-01,-6.243924668472e-01,7.068743782415e-01,-7.072229468578e-01,3.485972612498e-04
8.863375455941e-01,-3.422698704108e-01,8.553374900768e-01,-5.061672372057e-01,7.801783540052e-01,-6.243957732997e-01,7.068732430184e-01,-7.072235141188e-01,3.503000257935e-04
8.862520613456e-01,-3.423153031112e-01,8.553111057522e-01,-5.061824450689e-01,7.801722930097e-01,-6.243990918668e-01,7.068721022500e-01,-7.072240841490e-01,3.520111076919e-04
8.861664548581e-01,-3.423608039438e-01,8.552846555436e-01,-5.061976907862e-01,7.801662097631e-01,-6.244024225931e-01,7.068709559091e-01,-7.072246569619e-01,3.537305475722e-04
8.860807259312e-01,-3.424063730248e-01,8.552581392831e-01,-5.062129744534e-01,7.801601041834e-01,-6.244057655231e-01,7.068698039686e-01,-7.072252325712e-01,3.554583862599e-04
8.859948743637e-01,-3.424520104704e-01,8.552315568021e-01,-5.062282961665e-01,7.801539761885e-01,-6.244091207015e-01,7.068686464010e-01,-7.072258109905e-01,3.571946647800e-04
8.859088999544e-01,-3.424977163969e-01,8.552049079314e-01,-5.062436560216e-01,7.801478256959e-01,-6.244124881732e-01,7.068674831789e-01,-7.072263922334e-01,3.589394243579e-04
8.858228025014e-01,-3.425434909212e-01,8.551781925018e-01,-5.062590541152e-01,7.801416526227e-01,-6.244158679832e-01,7.068663142747e-01,-7.072269763138e-01,3.606927064202e-04
8.857365818026e-01,-3.425893341602e-01,8.551514103432e-01,-5.062744905441e-01,7.801354568859e-01,-6.244192601769e-01,7.068651396606e-01,-7.072275632455e-01,3.624545525961e-04
8.856502376554e-01,-3.426352462309e-01,8.551245612853e-01,-5.062899654052e-01,7.801292384020e-01,-6.244226647994e-01,7.068639593086e-01,-7.072281530425e-01,3.642250047179e-04
8.855637698568e-01,-3.426812272508e-01,8.550976451574e-01,-5.063054787957e-01,7.801229970873e-01,-6.244260818965e-01,7.068627731909e-01,-7.072287457186e-01,3.660041048225e-04
