gamma,theta,theta_inf
2.000000000000e-02,-1.764705882353e+00,-9.176470588235e+01
2.245614035088e-02,-1.976664378861e+00,-9.197666437886e+01
2.491228070175e-02,-2.187606983910e+00,-9.218760698391e+01
2.736842105263e-02,-2.397540983607e+00,-9.239754098361e+01
2.982456140351e-02,-2.606473594549e+00,-9.260647359455e+01
3.228070175439e-02,-2.814411964650e+00,-9.281441196465e+01
3.473684210526e-02,-3.021363173957e+00,-9.302136317396e+01
3.719298245614e-02,-3.227334235453e+00,-9.322733423545e+01
3.964912280702e-02,-3.432332095849e+00,-9.343233209585e+01
4.210526315789e-02,-3.636363636364e+00,-9.363636363636e+01
4.456140350877e-02,-3.839435673497e+00,-9.383943567350e+01
4.701754385965e-02,-4.041554959786e+00,-9.404155495979e+01
4.947368421053e-02,-4.242728184554e+00,-9.424272818455e+01
5.192982456140e-02,-4.442961974650e+00,-9.444296197465e+01
5.438596491228e-02,-4.642262895175e+00,-9.464226289517e+01
5.684210526316e-02,-4.840637450199e+00,-9.484063745020e+01
5.929824561404e-02,-5.038092083471e+00,-9.503809208347e+01
6.175438596491e-02,-5.234633179114e+00,-9.523463317911e+01
6.421052631579e-02,-5.430267062315e+00,-9.543026706231e+01
6.666666666667e-02,-5.625000000000e+00,-9.562500000000e+01
6.912280701754e-02,-5.818838201510e+00,-9.581883820151e+01
7.157894736842e-02,-6.011787819253e+00,-9.601178781925e+01
7.403508771930e-02,-6.203854949363e+00,-9.620385494936e+01
7.649122807018e-02,-6.395045632334e+00,-9.639504563233e+01
7.894736842105e-02,-6.585365853659e+00,-9.658536585366e+01
8.140350877193e-02,-6.774821544452e+00,-9.677482154445e+01
8.385964912281e-02,-6.963418582065e+00,-9.696341858207e+01
8.631578947368e-02,-7.151162790698e+00,-9.715116279070e+01
8.877192982456e-02,-7.338059941992e+00,-9.733805994199e+01
9.122807017544e-02,-7.524115755627e+00,-9.752411575563e+01
9.368421052632e-02,-7.709335899904e+00,-9.770933589990e+01
9.614035087719e-02,-7.893725992318e+00,-9.789372599232e+01
9.859649122807e-02,-8.077291600128e+00,-9.807729160013e+01
1.010526315789e-01,-8.260038240918e+00,-9.826003824092e+01
1.035087719298e-01,-8.441971383148e+00,-9.844197138315e+01
1.059649122807e-01,-8.623096446701e+00,-9.862309644670e+01
1.084210526316e-01,-8.803418803419e+00,-9.880341880342e+01
1.108771929825e-01,-8.982943777637e+00,-9.898294377764e+01
1.133333333333e-01,-9.161676646707e+00,-9.916167664671e+01
1.157894736842e-01,-9.339622641509e+00,-9.933962264151e+01
1.182456140351e-01,-9.516786946972e+00,-9.951678694697e+01
1.207017543860e-01,-9.693174702567e+00,-9.969317470257e+01
1.231578947368e-01,-9.868791002812e+00,-9.986879100281e+01
1.256140350877e-01,-1.004364089776e+01,-1.000436408978e+02
1.280701754386e-01,-1.021772939347e+01,-1.002177293935e+02
1.305263157895e-01,-1.039106145251e+01,-1.003910614525e+02
1.329824561404e-01,-1.056364199443e+01,-1.005636419944e+02
1.354385964912e-01,-1.073547589617e+01,-1.007354758962e+02
1.378947368421e-01,-1.090656799260e+01,-1.009065679926e+02
1.403508771930e-01,-1.107692307692e+01,-1.010769230769e+02
1.428070175439e-01,-1.124654590114e+01,-1.012465459011e+02
1.452631578947e-01,-1.141544117647e+01,-1.014154411765e+02
1.477192982456e-01,-1.158361357383e+01,-1.015836135738e+02
1.501754385965e-01,-1.175106772422e+01,-1.017510677242e+02
1.526315789474e-01,-1.191780821918e+01,-1.019178082192e+02
1.550877192982e-01,-1.208383961118e+01,-1.020838396112e+02
1.575438596491e-01,-1.224916641406e+01,-1.022491664141e+02
1.600000000000e-01,-1.241379310345e+01,-1.024137931034e+02
1.624561403509e-01,-1.257772411711e+01,-1.025777241171e+02
1.649122807018e-01,-1.274096385542e+01,-1.027409638554e+02
1.673684210526e-01,-1.290351668170e+01,-1.029035166817e+02
1.698245614035e-01,-1.306538692262e+01,-1.030653869226e+02
1.722807017544e-01,-1.322657886860e+01,-1.032265788686e+02
1.747368421053e-01,-1.338709677419e+01,-1.033870967742e+02
1.771929824561e-01,-1.354694485842e+01,-1.035469448584e+02
1.796491228070e-01,-1.370612730518e+01,-1.037061273052e+02
1.821052631579e-01,-1.386464826358e+01,-1.038646482636e+02
1.845614035088e-01,-1.402251184834e+01,-1.040225118483e+02
1.870175438596e-01,-1.417972214011e+01,-1.041797221401e+02
1.894736842105e-01,-1.433628318584e+01,-1.043362831858e+02
1.919298245614e-01,-1.449219899912e+01,-1.044921989991e+02
1.943859649123e-01,-1.464747356052e+01,-1.046474735605e+02
1.968421052632e-01,-1.480211081794e+01,-1.048021108179e+02
1.992982456140e-01,-1.495611468695e+01,-1.049561146870e+02
2.017543859649e-01,-1.510948905109e+01,-1.051094890511e+02
2.042105263158e-01,-1.526223776224e+01,-1.052622377622e+02
2.066666666667e-01,-1.541436464088e+01,-1.054143646409e+02
2.091228070175e-01,-1.556587347649e+01,-1.055658734765e+02
2.115789473684e-01,-1.571676802780e+01,-1.057167680278e+02
2.140350877193e-01,-1.586705202312e+01,-1.058670520231e+02
2.164912280702e-01,-1.601672916066e+01,-1.060167291607e+02
2.189473684211e-01,-1.616580310881e+01,-1.061658031088e+02
2.214035087719e-01,-1.631427750646e+01,-1.063142775065e+02
2.238596491228e-01,-1.646215596330e+01,-1.064621559633e+02
2.263157894737e-01,-1.660944206009e+01,-1.066094420601e+02
2.287719298246e-01,-1.675613934894e+01,-1.067561393489e+02
2.312280701754e-01,-1.690225135366e+01,-1.069022513537e+02
2.336842105263e-01,-1.704778156997e+01,-1.070477815700e+02
2.361403508772e-01,-1.719273346580e+01,-1.071927334658e+02
2.385964912281e-01,-1.733711048159e+01,-1.073371104816e+02
2.410526315789e-01,-1.748091603053e+01,-1.074809160305e+02
2.435087719298e-01,-1.762415349887e+01,-1.076241534989e+02
2.459649122807e-01,-1.776682624613e+01,-1.077668262461e+02
2.484210526316e-01,-1.790893760540e+01,-1.079089376054e+02
2.508771929825e-01,-1.805049088359e+01,-1.080504908836e+02
2.533333333333e-01,-1.819148936170e+01,-1.081914893617e+02
2.557894736842e-01,-1.833193629505e+01,-1.083319362951e+02
2.582456140351e-01,-1.847183491355e+01,-1.084718349136e+02
2.607017543860e-01,-1.861118842193e+01,-1.086111884219e+02
2.631578947368e-01,-1.875000000000e+01,-1.087500000000e+02
2.656140350877e-01,-1.888827280288e+01,-1.088882728029e+02
2.680701754386e-01,-1.902600996126e+01,-1.090260099613e+02
2.705263157895e-01,-1.916321458161e+01,-1.091632145816e+02
2.729824561404e-01,-1.929988974642e+01,-1.092998897464e+02
2.754385964912e-01,-1.943603851444e+01,-1.094360385144e+02
2.778947368421e-01,-1.957166392092e+01,-1.095716639209e+02
2.803508771930e-01,-1.970676897780e+01,-1.097067689778e+02
2.828070175439e-01,-1.984135667396e+01,-1.098413566740e+02
2.852631578947e-01,-1.997542997543e+01,-1.099754299754e+02
2.877192982456e-01,-2.010899182561e+01,-1.101089918256e+02
2.901754385965e-01,-2.024204514550e+01,-1.102420451455e+02
2.926315789474e-01,-2.037459283388e+01,-1.103745928339e+02
2.950877192982e-01,-2.050663776754e+01,-1.105066377675e+02
2.975438596491e-01,-2.063818280151e+01,-1.106381828015e+02
3.000000000000e-01,-2.076923076923e+01,-1.107692307692e+02
3.024561403509e-01,-2.089978448276e+01,-1.108997844828e+02
3.049122807018e-01,-2.102984673299e+01,-1.110298467330e+02
3.073684210526e-01,-2.115942028986e+01,-1.111594202899e+02
3.098245614035e-01,-2.128850790249e+01,-1.112885079025e+02
3.122807017544e-01,-2.141711229947e+01,-1.114171122995e+02
3.147368421053e-01,-2.154523618895e+01,-1.115452361890e+02
3.171929824561e-01,-2.167288225892e+01,-1.116728822589e+02
3.196491228070e-01,-2.180005317735e+01,-1.118000531773e+02
3.221052631579e-01,-2.192675159236e+01,-1.119267515924e+02
3.245614035088e-01,-2.205298013245e+01,-1.120529801325e+02
3.270175438596e-01,-2.217874140666e+01,-1.121787414067e+02
3.294736842105e-01,-2.230403800475e+01,-1.123040380048e+02
3.319298245614e-01,-2.242887249737e+01,-1.124288724974e+02
3.343859649123e-01,-2.255324743623e+01,-1.125532474362e+02
3.368421052632e-01,-2.267716535433e+01,-1.126771653543e+02
3.392982456140e-01,-2.280062876605e+01,-1.128006287660e+02
3.417543859649e-01,-2.292364016736e+01,-1.129236401674e+02
3.442105263158e-01,-2.304620203602e+01,-1.130462020360e+02
3.466666666667e-01,-2.316831683168e+01,-1.131683168317e+02
3.491228070175e-01,-2.328998699610e+01,-1.132899869961e+02
3.515789473684e-01,-2.341121495327e+01,-1.134112149533e+02
3.540350877193e-01,-2.353200310961e+01,-1.135320031096e+02
3.564912280702e-01,-2.365235385411e+01,-1.136523538541e+02
3.589473684211e-01,-2.377226955848e+01,-1.137722695585e+02
3.614035087719e-01,-2.389175257732e+01,-1.138917525773e+02
3.638596491228e-01,-2.401080524826e+01,-1.140108052483e+02
3.663157894737e-01,-2.412942989214e+01,-1.141294298921e+02
3.687719298246e-01,-2.424762881312e+01,-1.142476288131e+02
3.712280701754e-01,-2.436540429887e+01,-1.143654042989e+02
3.736842105263e-01,-2.448275862069e+01,-1.144827586207e+02
3.761403508772e-01,-2.459969403366e+01,-1.145996940337e+02
3.785964912281e-01,-2.471621277679e+01,-1.147162127768e+02
3.810526315789e-01,-2.483231707317e+01,-1.148323170732e+02
3.835087719298e-01,-2.494800913010e+01,-1.149480091301e+02
3.859649122807e-01,-2.506329113924e+01,-1.150632911392e+02
3.884210526316e-01,-2.517816527672e+01,-1.151781652767e+02
3.908771929825e-01,-2.529263370333e+01,-1.152926337033e+02
3.933333333333e-01,-2.540669856459e+01,-1.154066985646e+02
3.957894736842e-01,-2.552036199095e+01,-1.155203619910e+02
3.982456140351e-01,-2.563362609787e+01,-1.156336260979e+02
4.007017543860e-01,-2.574649298597e+01,-1.157464929860e+02
4.031578947368e-01,-2.585896474119e+01,-1.158589647412e+02
4.056140350877e-01,-2.597104343485e+01,-1.159710434348e+02
4.080701754386e-01,-2.608273112385e+01,-1.160827311238e+02
4.105263157895e-01,-2.619402985075e+01,-1.161940298507e+02
4.129824561404e-01,-2.630494164390e+01,-1.163049416439e+02
4.154385964912e-01,-2.641546851760e+01,-1.164154685176e+02
4.178947368421e-01,-2.652561247216e+01,-1.165256124722e+02
4.203508771930e-01,-2.663537549407e+01,-1.166353754941e+02
4.228070175439e-01,-2.674475955610e+01,-1.167447595561e+02
4.252631578947e-01,-2.685376661743e+01,-1.168537666174e+02
4.277192982456e-01,-2.696239862374e+01,-1.169623986237e+02
4.301754385965e-01,-2.707065750736e+01,-1.170706575074e+02
4.326315789474e-01,-2.717854518736e+01,-1.171785451874e+02
