gamma,theta_measured,theta_closed
1.000000000000e-01,-8.181818181818e+00,-8.181818181818e+00
2.000000000000e-01,-1.500000000000e+01,-1.500000000000e+01
3.000000000000e-01,-2.076923076923e+01,-2.076923076923e+01
4.000000000000e-01,-2.571428571429e+01,-2.571428571429e+01
5.000000000000e-01,-3.000000000000e+01,-3.000000000000e+01
6.000000000000e-01,-3.375000000000e+01,-3.375000000000e+01
7.000000000000e-01,-3.705882352941e+01,-3.705882352941e+01
8.000000000000e-01,-4.000000000000e+01,-4.000000000000e+01
9.000000000000e-01,-4.263157894737e+01,-4.263157894737e+01
1.000000000000e+00,-4.500000000000e+01,-4.500000000000e+01
