zeta,turn_g0.2,turn_g0.5,turn_g0.7,turn_g0.9,turn_g0.95,turn_g1.0
1.000000000000e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.013254101240e-04,-9.684618455652e-03,-2.176744075880e-03,-5.590954614829e-04,-1.208439780378e-04,-8.081203834238e-05,-5.369797621038e-05
1.026683873680e-04,-1.940469816059e-02,-4.368140282716e-03,-1.123380726524e-03,-2.431288118415e-04,-1.626413533918e-04,-1.081076708287e-04
1.040291645683e-04,-2.916039834714e-02,-6.574289008164e-03,-1.692904082437e-03,-3.668716843516e-04,-2.455007516770e-04,-1.632385170556e-04
1.054079776474e-04,-3.895187913367e-02,-8.795291350226e-03,-2.267714267821e-03,-4.920899834822e-04,-3.294032009557e-04,-2.191000730942e-04
1.068050656546e-04,-4.877930153048e-02,-1.103124912254e-02,-2.847860476822e-03,-6.188013045773e-04,-4.143618322687e-04,-2.757020238606e-04
1.082206708077e-04,-5.864282744566e-02,-1.328226485976e-02,-3.433392363422e-03,-7.470234528971e-04,-5.003899419630e-04,-3.330541826000e-04
1.096550385349e-04,-6.854261969106e-02,-1.554844182293e-02,-4.024360045770e-03,-8.767744461185e-04,-5.875009938418e-04,-3.911664926679e-04
1.111084175171e-04,-7.847884198832e-02,-1.782988400488e-02,-4.620814110557e-03,-1.008072516873e-03,-6.757086211747e-04,-4.500490291710e-04
1.125810597314e-04,-8.845165897486e-02,-2.012669613580e-02,-5.222805617434e-03,-1.140936115310e-03,-7.650266289111e-04,-5.097120007800e-04
1.140732204948e-04,-9.846123620996e-02,-2.243898368870e-02,-5.830386103479e-03,-1.275383911674e-03,-8.554689958243e-04,-5.701657514541e-04
1.155851585080e-04,-1.085077401809e-01,-2.476685288498e-02,-6.443607587696e-03,-1.411434798994e-03,-9.470498766802e-04,-6.314207622530e-04
1.171171359007e-04,-1.185913383093e-01,-2.711041070009e-02,-7.062522575552e-03,-1.549107895654e-03,-1.039783604464e-03,-6.934876531762e-04
1.186694182769e-04,-1.287121989568e-01,-2.946976486914e-02,-7.687184063599e-03,-1.688422548173e-03,-1.133684692638e-03,-7.563771849498e-04
1.202422747608e-04,-1.388704914321e-01,-3.184502389264e-02,-8.317645544059e-03,-1.829398333857e-03,-1.228767837383e-03,-8.201002609478e-04
1.218359780438e-04,-1.490663859966e-01,-3.423629704227e-02,-8.953961009534e-03,-1.972055063606e-03,-1.325047919945e-03,-8.846679290430e-04
1.234508044315e-04,-1.593000538713e-01,-3.664369436664e-02,-9.596184957733e-03,-2.116412784659e-03,-1.422540008924e-03,-9.500913835413e-04
1.250870338916e-04,-1.695716672425e-01,-3.906732669716e-02,-1.024437239623e-02,-2.262491783453e-03,-1.521259362647e-03,-1.016381967140e-03
1.267449501026e-04,-1.798813992692e-01,-4.150730565396e-02,-1.089857884727e-02,-2.410312588470e-03,-1.621221431582e-03,-1.083551172851e-03
1.284248405029e-04,-1.902294240886e-01,-4.396374365177e-02,-1.155886035263e-02,-2.559895973104e-03,-1.722441860724e-03,-1.151610646006e-03
1.301269963406e-04,-2.006159168236e-01,-4.643675390602e-02,-1.222527347857e-02,-2.711262958625e-03,-1.824936492035e-03,-1.220572186299e-03
1.318517127242e-04,-2.110410535884e-01,-4.892645043875e-02,-1.289787532069e-02,-2.864434817092e-03,-1.928721366992e-03,-1.290447749836e-03
1.335992886733e-04,-2.215050114963e-01,-5.143294808485e-02,-1.357672350908e-02,-3.019433074380e-03,-2.033812729019e-03,-1.361249451171e-03
1.353700271709e-04,-2.320079686652e-01,-5.395636249807e-02,-1.426187621318e-02,-3.176279513209e-03,-2.140227026099e-03,-1.432989565419e-03
1.371642352159e-04,-2.425501042252e-01,-5.649681015730e-02,-1.495339214708e-02,-3.334996176204e-03,-2.247980913277e-03,-1.505680530407e-03
1.389822238760e-04,-2.531315983251e-01,-5.905440837277e-02,-1.565133057448e-02,-3.495605368995e-03,-2.357091255343e-03,-1.579334948797e-03
1.408243083418e-04,-2.637526321393e-01,-6.162927529236e-02,-1.635575131406e-02,-3.658129663363e-03,-2.467575129439e-03,-1.653965590311e-03
1.426908079816e-04,-2.744133878744e-01,-6.422152990802e-02,-1.706671474459e-02,-3.822591900410e-03,-2.579449827713e-03,-1.729585393905e-03
1.445820463966e-04,-2.851140487768e-01,-6.683129206199e-02,-1.778428181027e-02,-3.989015193812e-03,-2.692732860059e-03,-1.806207470028e-03
1.464983514770e-04,-2.958547991390e-01,-6.945868245345e-02,-1.850851402614e-02,-4.157422932993e-03,-2.807441956850e-03,-1.883845102910e-03
1.484400554589e-04,-3.066358243070e-01,-7.210382264491e-02,-1.923947348339e-02,-4.327838786533e-03,-2.923595071723e-03,-1.962511752823e-03
1.504074949820e-04,-3.174573106875e-01,-7.476683506880e-02,-1.997722285484e-02,-4.500286705378e-03,-3.041210384362e-03,-2.042221058495e-03
1.524010111478e-04,-3.283194457548e-01,-7.744784303412e-02,-2.072182540050e-02,-4.674790926314e-03,-3.160306303396e-03,-2.122986839378e-03
1.544209495786e-04,-3.392224180582e-01,-8.014697073304e-02,-2.147334497303e-02,-4.851375975318e-03,-3.280901469211e-03,-2.204823098080e-03
1.564676604779e-04,-3.501664172291e-01,-8.286434324768e-02,-2.223184602346e-02,-5.030066671052e-03,-3.403014756949e-03,-2.287744022847e-03
1.585414986906e-04,-3.611516339885e-01,-8.560008655689e-02,-2.299739360674e-02,-5.210888128322e-03,-3.526665279401e-03,-2.371763989958e-03
1.606428237650e-04,-3.721782601542e-01,-8.835432754304e-02,-2.377005338756e-02,-5.393865761642e-03,-3.651872390046e-03,-2.456897566199e-03
1.627720000147e-04,-3.832464886485e-01,-9.112719399897e-02,-2.454989164605e-02,-5.579025288812e-03,-3.778655686044e-03,-2.543159511495e-03
1.649293965819e-04,-3.943565135054e-01,-9.391881463492e-02,-2.533697528368e-02,-5.766392734498e-03,-3.907035011333e-03,-2.630564781341e-03
1.671153875016e-04,-4.055085298781e-01,-9.672931908551e-02,-2.613137182909e-02,-5.955994433999e-03,-4.037030459729e-03,-2.719128529479e-03
1.693303517663e-04,-4.167027340470e-01,-9.955883791690e-02,-2.693314944405e-02,-6.147857036818e-03,-4.168662378074e-03,-2.808866110505e-03
1.715746733916e-04,-4.279393234268e-01,-1.024075026338e-01,-2.774237692947e-02,-6.342007510537e-03,-4.301951369408e-03,-2.899793082505e-03
1.738487414830e-04,-4.392184965748e-01,-1.052754456867e-01,-2.855912373146e-02,-6.538473144556e-03,-4.436918296238e-03,-2.991925209815e-03
1.761529503030e-04,-4.505404531982e-01,-1.081628004791e-01,-2.938345994745e-02,-6.737281553938e-03,-4.573584283750e-03,-3.085278465658e-03
