gamma,net_turning,winding_number
2.000000000000e-01,-8.693651002696e+01,0.000000000000e+00
4.000000000000e-01,-8.928500099306e+01,0.000000000000e+00
5.000000000000e-01,-8.968103972769e+01,0.000000000000e+00
7.000000000000e-01,-8.994747341427e+01,0.000000000000e+00
8.000000000000e-01,-8.998287557493e+01,0.000000000000e+00
9.000000000000e-01,-8.999741127230e+01,0.000000000000e+00
9.100000000000e-01,-4.499982244435e+02,1.000000000000e+00
9.500000000000e-01,-4.500001649297e+02,1.000000000000e+00
9.900000000000e-01,-4.499918068053e+02,1.000000000000e+00
9.950000000000e-01,-4.499807387084e+02,1.000000000000e+00
9.990000000000e-01,-8.098935180013e+02,2.000000000000e+00
