zeta,speed_g0.2,comp_g0.2,speed_g0.4,comp_g0.4,speed_g0.6,comp_g0.6,speed_g0.8,comp_g0.8,speed_g1.0,comp_g1.0
6.309573444802e-02,4.262226952924e-01,1.547521071056e-02,6.819163223081e-01,1.424725133765e-02,8.306235515289e-01,9.986291545588e-03,9.127652062409e-01,6.314792388546e-03,9.563652086629e-01,3.807358472366e-03
6.416848304948e-02,4.244734879830e-01,1.572666722224e-02,6.799238653063e-01,1.454490090944e-02,8.289906307262e-01,1.023916303983e-02,9.116219054557e-01,6.501206233420e-03,9.556400345866e-01,3.934937879825e-03
6.525947043637e-02,4.227208155455e-01,1.598180723637e-02,6.779205883478e-01,1.484840439335e-02,8.273430535201e-01,1.049821100116e-02,9.104642158204e-01,6.693006746907e-03,9.549030955284e-01,4.066739853345e-03
6.636900670305e-02,4.209646965012e-01,1.624067432403e-02,6.759064613606e-01,1.515786529335e-02,8.256807105798e-01,1.076357763118e-02,9.092919713529e-01,6.890344383244e-03,9.541542102875e-01,4.202901450836e-03
6.749740721608e-02,4.192051554384e-01,1.650331251206e-02,6.738814604711e-01,1.547338869326e-02,8.240035003691e-01,1.103540817768e-02,9.081050093414e-01,7.093373601907e-03,9.533931948992e-01,4.343564038425e-03
6.864499270386e-02,4.174422086173e-01,1.676976571964e-02,6.718455563625e-01,1.579508100525e-02,8.223113120823e-01,1.131385076169e-02,9.069031642850e-01,7.302252918490e-03,9.526198628892e-01,4.488873419823e-03
6.981208934778e-02,4.156758800001e-01,1.704007837222e-02,6.697987266730e-01,1.612305025838e-02,8.206040418354e-01,1.159905663738e-02,9.056862661573e-01,7.517144984691e-03,9.518340261735e-01,4.638979972531e-03
7.099902887497e-02,4.139061880386e-01,1.731429487018e-02,6.677409437179e-01,1.645740581995e-02,8.188815813844e-01,1.189118008945e-02,9.044541431735e-01,7.738216705739e-03,9.510354937084e-01,4.794038777119e-03
7.220614865251e-02,4.121331577481e-01,1.759246007053e-02,6.656721815585e-01,1.679825856236e-02,8.171438217161e-01,1.219037852657e-02,9.032066271069e-01,7.965639386082e-03,9.502240718941e-01,4.954209757953e-03
7.343379178340e-02,4.103568117222e-01,1.787461891272e-02,6.635924190058e-01,1.714572094866e-02,8.153906598021e-01,1.249681263163e-02,9.019435438676e-01,8.199588751427e-03,9.493995641861e-01,5.119657823702e-03
