ft,spinup_g0.2_re,spinup_g0.2_im,spinup_g0.5_re,spinup_g0.5_im,spinup_g0.8_re,spinup_g0.8_im,spinup_g1.0_re,spinup_g1.0_im
1.000000000000e-03,3.292636421555e-01,8.817551412794e-02,9.699554476844e-02,5.596807669987e-02,4.015421405900e-02,3.367233738824e-02,2.523973313821e-02,2.522291225593e-02
1.009259530532e-03,3.297699471458e-01,8.831063312254e-02,9.729413308154e-02,5.614006701548e-02,4.031913587015e-02,3.381044111550e-02,2.535639610908e-02,2.533934105662e-02
1.018604799970e-03,3.302770317550e-01,8.844595512315e-02,9.759364176536e-02,5.631258376471e-02,4.048473594435e-02,3.394911019219e-02,2.547359904562e-02,2.545630656300e-02
1.028036602216e-03,3.307848971953e-01,8.858148039085e-02,9.789407367173e-02,5.648562853298e-02,4.065101708301e-02,3.408834691830e-02,2.559134445712e-02,2.557381123899e-02
1.037555738522e-03,3.312935446807e-01,8.871720918659e-02,9.819543166149e-02,5.665920291010e-02,4.081798209929e-02,3.422815360298e-02,2.570963486467e-02,2.569185755965e-02
1.047163017562e-03,3.318029754274e-01,8.885314177112e-02,9.849771860455e-02,5.683330849038e-02,4.098563381811e-02,3.436853256460e-02,2.582847280122e-02,2.581044801128e-02
1.056859255495e-03,3.323131906536e-01,8.898927840506e-02,9.880093737988e-02,5.700794687259e-02,4.115397507622e-02,3.450948613074e-02,2.594786081164e-02,2.592958509144e-02
1.066645276039e-03,3.328241915793e-01,8.912561934886e-02,9.910509087557e-02,5.718311965997e-02,4.132300872229e-02,3.465101663826e-02,2.606780145277e-02,2.604927130901e-02
1.076521910540e-03,3.333359794268e-01,8.926216486276e-02,9.941018198886e-02,5.735882846026e-02,4.149273761689e-02,3.479312643331e-02,2.618829729348e-02,2.616950918424e-02
1.086489998039e-03,3.338485554203e-01,8.939891520687e-02,9.971621362616e-02,5.753507488567e-02,4.166316463260e-02,3.493581787138e-02,2.630935091474e-02,2.629030124877e-02
1.096550385349e-03,3.343619207861e-01,8.953587064107e-02,1.000231887031e-01,5.771186055294e-02,4.183429265403e-02,3.507909331733e-02,2.643096490967e-02,2.641165004574e-02
1.106703927122e-03,3.348760767524e-01,8.967303142506e-02,1.003311101445e-01,5.788918708329e-02,4.200612457788e-02,3.522295514542e-02,2.655314188358e-02,2.653355812977e-02
1.116951485925e-03,3.353910245497e-01,8.981039781833e-02,1.006399808845e-01,5.806705610249e-02,4.217866331303e-02,3.536740573934e-02,2.667588445409e-02,2.665602806707e-02
1.127293932312e-03,3.359067654103e-01,8.994797008019e-02,1.009498038665e-01,5.824546924080e-02,4.235191178051e-02,3.551244749227e-02,2.679919525110e-02,2.677906243543e-02
1.137732144897e-03,3.364233005686e-01,9.008574846969e-02,1.012605820434e-01,5.842442813305e-02,4.252587291366e-02,3.565808280689e-02,2.692307691693e-02,2.690266382435e-02
1.148267010430e-03,3.369406312613e-01,9.022373324569e-02,1.015723183771e-01,5.860393441859e-02,4.270054965807e-02,3.580431409540e-02,2.704753210635e-02,2.702683483502e-02
1.158899423872e-03,3.374587587269e-01,9.036192466681e-02,1.018850158392e-01,5.878398974132e-02,4.287594497175e-02,3.595114377962e-02,2.717256348663e-02,2.715157808037e-02
1.169630288471e-03,3.379776842060e-01,9.050032299143e-02,1.021986774108e-01,5.896459574971e-02,4.305206182509e-02,3.609857429094e-02,2.729817373762e-02,2.727689618520e-02
1.180460515839e-03,3.384974089414e-01,9.063892847769e-02,1.025133060821e-01,5.914575409678e-02,4.322890320095e-02,3.624660807041e-02,2.742436555180e-02,2.740279178613e-02
1.191391026027e-03,3.390179341780e-01,9.077774138348e-02,1.028289048531e-01,5.932746644015e-02,4.340647209474e-02,3.639524756878e-02,2.755114163435e-02,2.752926753173e-02
1.202422747608e-03,3.395392611625e-01,9.091676196642e-02,1.031454767333e-01,5.950973444198e-02,4.358477151443e-02,3.654449524649e-02,2.767850470319e-02,2.765632608252e-02
