M,err
8.000000000000e+00,4.393663691683e-06
1.200000000000e+01,9.308575679011e-09
1.600000000000e+01,9.982068707316e-12
2.000000000000e+01,1.491195066985e-12
2.400000000000e+01,2.270510655644e-12
2.800000000000e+01,5.047657819475e-11
3.200000000000e+01,1.133544075273e-10
3.600000000000e+01,4.713145052919e-10
4.000000000000e+01,3.860562371116e-09
4.400000000000e+01,1.603647250630e-08
4.800000000000e+01,1.025562157695e-07
5.200000000000e+01,5.618948066998e-07
5.600000000000e+01,7.924888482264e-06
6.000000000000e+01,3.295339808718e-06
6.400000000000e+01,4.274800264114e-05
