gamma,err
1.000000000000e-01,4.841913380521e-10
1.500000000000e-01,9.330393949932e-11
2.000000000000e-01,4.922652636025e-10
2.500000000000e-01,4.974591245578e-10
3.000000000000e-01,5.519167264565e-10
3.500000000000e-01,7.418053643270e-11
4.000000000000e-01,6.854623836098e-10
4.500000000000e-01,4.746816319449e-10
5.000000000000e-01,4.627868102428e-10
5.500000000000e-01,4.649084598139e-10
6.000000000000e-01,2.942378402674e-10
6.500000000000e-01,7.453982779250e-10
7.000000000000e-01,5.742106053062e-11
7.500000000000e-01,2.829933728912e-10
8.000000000000e-01,2.391754103411e-10
8.500000000000e-01,5.895935762454e-10
9.000000000000e-01,3.607658386473e-10
9.500000000000e-01,6.779796644601e-10
1.000000000000e+00,5.892973260947e-11
