gamma,transport_err_contour,transport_err_pi
1.000000000000e-01,5.894947310090e-10,1.252465544318e-15
1.500000000000e-01,7.578583713200e-10,5.274435786004e-15
2.000000000000e-01,8.945062525219e-10,9.057678187206e-15
2.500000000000e-01,9.310867611671e-10,1.109903234338e-13
3.000000000000e-01,9.900958888868e-10,2.542114972925e-13
3.500000000000e-01,9.867358769785e-10,1.383060073362e-12
4.000000000000e-01,9.468021261346e-10,9.094947017729e-13
4.500000000000e-01,8.634357420318e-10,1.095176647031e-11
5.000000000000e-01,7.268143199575e-10,2.594950322080e-11
5.500000000000e-01,6.723004667157e-10,3.918223088210e-11
6.000000000000e-01,5.371557046801e-10,1.499977088540e-10
6.500000000000e-01,4.381371596669e-10,3.083495554226e-10
7.000000000000e-01,3.696138895854e-10,1.567289235284e-10
7.500000000000e-01,2.914787813451e-10,3.783497959375e-10
8.000000000000e-01,2.110757371221e-10,4.692851652099e-10
8.500000000000e-01,1.557862123393e-10,4.546163647847e-10
9.000000000000e-01,1.211679917157e-10,7.293399007841e-10
9.500000000000e-01,8.644800065211e-11,3.681375715146e-10
1.000000000000e+00,1.302565659133e-10,2.693136124404e-15
